2017.11.17_16:55:41,17.34,21.75,26.50,4.31,3.22,5.63,22.88,1.23,980.85,18.55,25.57,24.84,8.31,8.40,8.77,23.94,58.92,988.31,69.41,N; Tset = 10.00; Ttrue = 016.6; T1 = 25.40; RH1 = 57.82; T2 = 24.32; RH2 = 69.32
2017.11.17_16:56:41,18.13,22.72,24.05,4.16,3.23,6.15,23.68,1.26,1014.72,18.32,23.34,23.95,6.47,8.80,8.59,24.77,49.66,1022.42,53.34,N; Tset = 10.00; Ttrue = 016.9; T1 = 26.25; RH1 = 47.08; T2 = 25.14; RH2 = 54.07
2017.11.17_16:57:49,19.57,22.59,36.37,4.25,4.41,6.54,23.70,1.23,1014.75,17.62,21.06,23.39,6.05,8.06,7.78,24.78,46.71,1022.44,50.69,N; Tset = 10.80; Ttrue = 017.1; T1 = 26.23; RH1 = 45.98; T2 = 25.14; RH2 = 50.18
2017.11.17_16:59:01,17.38,19.72,27.87,3.72,5.83,5.82,23.71,1.21,1014.76,19.85,19.90,26.07,6.30,8.19,9.67,24.79,45.43,1022.46,50.26,N; Tset = 12.00; Ttrue = 017.2; T1 = 26.23; RH1 = 45.98; T2 = 25.13; RH2 = 49.42
2017.11.17_17:00:11,16.54,19.32,22.18,5.08,4.54,6.57,23.73,1.19,1014.76,17.06,20.55,24.12,7.07,7.55,7.32,24.80,44.81,1022.46,50.31,N; Tset = 13.00; Ttrue = 017.3; T1 = 26.22; RH1 = 46.24; T2 = 25.13; RH2 = 49.31
2017.11.17_17:01:21,18.33,20.13,22.69,4.12,2.89,4.61,23.75,1.16,1014.75,16.20,16.40,22.49,7.32,7.35,7.24,24.81,44.49,1022.47,50.48,N; Tset = 14.00; Ttrue = 016.8; T1 = 26.21; RH1 = 46.56; T2 = 25.13; RH2 = 49.41
2017.11.17_17:02:31,16.89,19.34,21.81,4.38,3.81,5.62,23.78,1.14,1014.76,17.74,18.38,21.41,6.34,7.26,7.71,24.82,43.71,1022.48,49.61,N; Tset = 15.00; Ttrue = 016.0; T1 = 26.20; RH1 = 45.58; T2 = 25.13; RH2 = 48.85
2017.11.17_17:03:41,17.10,26.08,24.85,5.28,3.67,5.85,23.81,1.13,1014.84,17.04,19.05,23.40,6.27,8.89,7.62,24.83,42.12,1022.54,47.50,N; Tset = 16.00; Ttrue = 015.5; T1 = 26.18; RH1 = 43.65; T2 = 25.13; RH2 = 46.88
2017.11.17_17:04:51,17.74,21.03,23.58,3.92,2.44,5.10,23.84,1.12,1014.83,16.76,22.09,24.52,6.04,7.43,9.17,24.84,40.80,1022.57,46.02,N; Tset = 17.00; Ttrue = 016.6; T1 = 26.16; RH1 = 42.50; T2 = 25.13; RH2 = 45.32
2017.11.17_17:06:01,17.79,20.77,24.17,3.95,3.39,4.99,23.86,1.11,1014.87,17.14,18.79,23.77,6.58,7.56,8.35,24.85,40.92,1022.60,47.02,N; Tset = 18.00; Ttrue = 017.8; T1 = 26.14; RH1 = 44.01; T2 = 25.13; RH2 = 45.76
2017.11.17_17:07:09,17.07,19.09,20.12,3.77,2.45,4.75,23.89,1.09,1014.88,15.59,22.68,24.09,5.86,7.14,7.48,24.85,42.51,1022.58,49.90,N; Tset = 18.80; Ttrue = 018.6; T1 = 26.13; RH1 = 46.95; T2 = 25.13; RH2 = 48.33
2017.11.17_17:08:19,23.88,22.20,24.56,4.45,3.68,6.11,23.90,1.09,1014.92,19.90,20.93,24.01,6.49,7.27,8.48,24.87,44.05,1022.64,52.22,N; Tset = 19.80; Ttrue = 019.4; T1 = 26.12; RH1 = 49.20; T2 = 25.14; RH2 = 50.63
2017.11.17_17:09:27,15.21,17.85,20.76,3.66,3.24,5.16,23.92,1.11,1014.99,25.29,19.03,22.08,7.55,8.50,7.68,24.88,45.58,1022.72,54.47,N; Tset = 20.60; Ttrue = 020.3; T1 = 26.11; RH1 = 51.42; T2 = 25.14; RH2 = 52.79
2017.11.17_17:10:35,17.26,20.32,22.43,3.52,3.11,4.69,23.93,1.09,1015.02,16.93,23.83,25.25,6.04,7.33,7.36,24.89,47.37,1022.77,56.96,N; Tset = 21.40; Ttrue = 021.2; T1 = 26.10; RH1 = 53.88; T2 = 25.14; RH2 = 55.19
2017.11.17_17:11:43,17.49,17.80,21.51,3.90,3.23,4.90,23.93,1.08,1014.99,17.18,19.14,22.35,5.58,7.21,7.16,24.89,49.24,1022.73,59.58,N; Tset = 22.20; Ttrue = 022.0; T1 = 26.11; RH1 = 56.37; T2 = 25.14; RH2 = 57.69
2017.11.17_17:12:51,16.42,19.20,21.20,4.84,3.22,5.34,23.95,1.06,1015.03,19.25,18.15,23.13,6.30,6.70,7.34,24.89,51.23,1022.76,62.29,N; Tset = 23.00; Ttrue = 022.9; T1 = 26.12; RH1 = 58.93; T2 = 25.14; RH2 = 60.28
2017.11.17_17:13:59,14.44,22.00,21.71,4.60,3.23,5.63,23.95,1.04,1015.05,18.15,19.30,24.41,6.79,7.30,7.55,24.90,53.33,1022.76,65.07,N; Tset = 23.80; Ttrue = 023.6; T1 = 26.13; RH1 = 61.55; T2 = 25.15; RH2 = 62.98
2017.11.17_17:15:07,16.84,20.38,21.67,4.16,3.36,5.54,23.97,1.04,1015.10,17.64,19.65,25.74,6.66,6.91,7.90,24.91,55.40,1022.83,67.73,N; Tset = 24.60; Ttrue = 024.3; T1 = 26.15; RH1 = 64.01; T2 = 25.15; RH2 = 65.62
2017.11.17_17:16:15,16.31,20.50,19.99,3.98,3.01,5.30,23.97,1.03,1015.10,16.24,18.50,25.79,5.71,7.44,8.55,24.91,57.47,1022.84,70.41,N; Tset = 25.40; Ttrue = 025.1; T1 = 26.18; RH1 = 66.43; T2 = 25.15; RH2 = 68.21
2017.11.17_17:17:21,15.17,16.98,19.59,3.97,3.40,6.01,23.99,1.02,1015.13,20.13,23.39,24.11,5.73,7.54,9.37,24.91,59.62,1022.86,73.18,N; Tset = 26.00; Ttrue = 025.8; T1 = 26.21; RH1 = 68.93; T2 = 25.16; RH2 = 70.89
2017.11.17_17:18:29,18.59,21.76,21.09,2.89,3.40,4.95,23.99,1.00,1015.10,16.05,21.71,23.27,7.11,8.32,8.98,24.93,61.85,1022.77,76.03,N; Tset = 26.80; Ttrue = 026.6; T1 = 26.25; RH1 = 71.52; T2 = 25.16; RH2 = 73.70
2017.11.17_17:19:37,19.24,20.81,22.38,3.82,3.90,6.89,24.01,1.00,1015.21,23.23,21.69,27.79,7.15,8.69,8.99,24.93,64.16,1022.93,79.02,N; Tset = 27.60; Ttrue = 027.3; T1 = 26.30; RH1 = 74.16; T2 = 25.16; RH2 = 76.58
2017.11.17_17:20:43,21.18,20.90,23.65,3.21,5.03,5.59,24.01,0.99,1015.21,21.72,22.94,27.05,7.17,10.21,12.00,24.94,66.48,1022.93,82.08,N; Tset = 28.20; Ttrue = 028.0; T1 = 26.36; RH1 = 76.81; T2 = 25.16; RH2 = 79.50
2017.11.17_17:21:49,17.83,19.17,21.93,4.31,2.53,5.17,24.02,0.99,1015.24,22.26,26.43,29.72,8.33,9.70,11.48,24.95,68.77,1022.97,84.90,N; Tset = 28.80; Ttrue = 028.7; T1 = 26.41; RH1 = 79.26; T2 = 25.17; RH2 = 82.34
2017.11.17_17:22:57,18.26,22.11,20.11,5.85,3.28,6.14,24.03,0.99,1015.24,21.60,21.40,27.94,9.18,10.41,12.93,24.95,71.00,1022.95,87.81,N; Tset = 29.60; Ttrue = 029.3; T1 = 26.46; RH1 = 81.71; T2 = 25.18; RH2 = 85.11
2017.11.17_17:24:03,19.38,19.00,21.10,5.08,4.99,4.88,24.05,0.98,1015.30,19.18,22.27,28.34,13.58,12.90,14.22,24.97,73.28,1023.02,90.71,N; Tset = 30.20; Ttrue = 030.0; T1 = 26.54; RH1 = 84.18; T2 = 25.18; RH2 = 87.92
