2017.11.26_01:05:20,11.68,13.35,15.13,2.70,2.31,4.93,25.16,5.99,976.01,19.99,20.74,18.53,9.20,10.78,10.48,26.55,58.78,983.55,63.63,N; Tset = 14.80; Ttrue = 015.1; T1 = 27.71; RH1 = 51.62; T2 = 26.90; RH2 = 66.18
2017.11.26_01:06:20,11.89,14.20,13.78,2.90,2.64,4.75,26.04,6.20,1009.70,18.30,23.46,21.61,9.08,9.17,10.93,27.46,45.63,1017.47,43.38,N; Tset = 14.80; Ttrue = 015.4; T1 = 28.61; RH1 = 38.08; T2 = 27.81; RH2 = 45.11
2017.11.26_01:07:20,12.05,13.25,16.34,2.86,2.66,4.94,26.03,6.20,1009.73,13.84,15.95,20.18,9.03,9.46,8.84,27.44,41.91,1017.51,41.05,N; Tset = 14.80; Ttrue = 015.6; T1 = 28.57; RH1 = 37.37; T2 = 27.80; RH2 = 41.31
2017.11.26_01:08:20,11.10,12.89,14.87,2.70,2.03,4.92,26.03,6.20,1009.71,15.02,16.20,21.38,8.39,9.04,8.42,27.44,40.16,1017.44,40.57,N; Tset = 14.80; Ttrue = 015.7; T1 = 28.54; RH1 = 37.40; T2 = 27.78; RH2 = 40.46
2017.11.26_01:09:26,12.14,13.21,14.62,3.41,3.01,5.04,26.03,6.19,1009.75,17.70,21.61,22.82,8.29,9.24,8.60,27.44,38.88,1017.53,40.14,N; Tset = 15.40; Ttrue = 015.8; T1 = 28.48; RH1 = 37.27; T2 = 27.76; RH2 = 39.92
2017.11.26_01:10:32,12.15,12.91,14.80,3.28,2.30,4.40,26.03,6.18,1009.85,15.01,18.39,22.56,8.93,9.82,10.24,27.44,38.04,1017.63,40.06,N; Tset = 16.00; Ttrue = 016.0; T1 = 28.42; RH1 = 37.52; T2 = 27.74; RH2 = 39.71
2017.11.26_01:11:38,10.67,12.70,14.62,3.08,2.33,4.93,26.03,6.18,1009.92,16.01,18.72,22.40,9.90,9.20,8.96,27.46,37.53,1017.68,40.14,N; Tset = 16.60; Ttrue = 016.4; T1 = 28.36; RH1 = 37.93; T2 = 27.71; RH2 = 39.74
2017.11.26_01:12:44,10.48,13.32,14.83,2.63,2.16,5.08,26.02,6.17,1009.90,16.47,14.52,20.58,9.11,8.24,8.22,27.46,37.50,1017.66,40.85,N; Tset = 17.20; Ttrue = 017.1; T1 = 28.30; RH1 = 38.93; T2 = 27.69; RH2 = 40.28
2017.11.26_01:13:50,11.03,13.64,14.17,3.37,2.58,3.91,26.01,6.16,1009.91,14.15,17.78,18.67,8.24,8.44,7.91,27.46,37.87,1017.64,42.03,N; Tset = 17.80; Ttrue = 017.7; T1 = 28.24; RH1 = 40.37; T2 = 27.67; RH2 = 41.31
2017.11.26_01:14:56,11.21,13.31,13.56,2.59,2.33,4.68,26.01,6.16,1009.88,14.59,15.11,18.10,8.35,8.88,7.78,27.46,38.59,1017.62,43.36,N; Tset = 18.40; Ttrue = 018.2; T1 = 28.18; RH1 = 41.81; T2 = 27.64; RH2 = 42.66
2017.11.26_01:16:02,11.23,13.99,14.17,2.80,2.07,4.47,25.99,6.16,1009.86,13.18,16.21,20.24,7.49,8.14,8.64,27.46,39.15,1017.60,44.30,N; Tset = 19.00; Ttrue = 018.6; T1 = 28.14; RH1 = 42.82; T2 = 27.62; RH2 = 43.65
