2017.11.24_20:20:59,93.81,137.20,173.96,21.49,23.27,28.97,24.99,4.45,971.01,144.38,187.36,233.05,30.04,34.40,39.54,26.06,47.58,978.38,64.43,P; Tset = 14.20; Ttrue = NaN; T1 = 27.06; RH1 = 58.87; T2 = 27.34; RH2 = 57.38
2017.11.24_20:21:59,98.14,140.80,180.85,22.02,24.54,30.08,25.82,4.61,1004.49,147.23,203.32,256.32,33.62,38.42,43.14,26.91,49.00,1012.13,63.93,P; Tset = 14.20; Ttrue = NaN; T1 = 27.90; RH1 = 60.60; T2 = 28.21; RH2 = 59.01
2017.11.24_20:22:59,96.71,140.63,182.33,22.20,25.08,29.97,25.78,4.63,1004.47,149.56,207.69,256.24,33.74,43.62,43.86,26.88,48.79,1012.13,63.53,P; Tset = 14.60; Ttrue = NaN; T1 = 27.82; RH1 = 60.41; T2 = 28.15; RH2 = 58.73
2017.11.24_20:23:59,97.17,141.78,183.64,21.74,23.86,30.42,25.75,4.64,1004.47,159.27,204.56,256.37,33.52,38.44,43.89,26.84,48.60,1012.11,63.21,P; Tset = 15.60; Ttrue = NaN; T1 = 27.74; RH1 = 60.25; T2 = 28.10; RH2 = 58.49
2017.11.24_20:24:59,97.00,140.64,183.17,21.96,24.40,30.24,25.72,4.66,1004.46,152.06,203.06,249.47,32.84,36.84,42.60,26.81,48.45,1012.11,62.93,P; Tset = 16.60; Ttrue = NaN; T1 = 27.67; RH1 = 60.16; T2 = 28.04; RH2 = 58.29
2017.11.24_20:25:59,100.31,143.86,185.83,22.53,25.24,31.35,25.68,4.67,1004.46,150.42,199.77,250.47,32.94,37.54,42.38,26.78,48.27,1012.07,62.67,P; Tset = 17.60; Ttrue = NaN; T1 = 27.59; RH1 = 60.05; T2 = 28.00; RH2 = 58.09
2017.11.24_20:26:59,100.84,142.91,185.82,21.81,24.51,30.60,25.66,4.69,1004.49,149.99,200.59,251.16,35.90,38.08,42.68,26.74,48.10,1012.09,62.47,P; Tset = 18.40; Ttrue = NaN; T1 = 27.53; RH1 = 59.92; T2 = 27.96; RH2 = 57.90
2017.11.24_20:27:59,99.18,142.27,186.00,21.66,24.46,29.81,25.64,4.68,1004.46,153.44,202.94,249.05,32.73,36.36,41.81,26.69,47.93,1012.06,62.31,P; Tset = 19.20; Ttrue = NaN; T1 = 27.45; RH1 = 59.82; T2 = 27.92; RH2 = 57.74
2017.11.24_20:28:59,99.86,144.33,182.28,22.19,24.71,30.63,25.61,4.70,1004.46,147.95,197.90,249.76,32.20,36.48,41.75,26.65,47.79,1012.06,62.16,P; Tset = 20.00; Ttrue = NaN; T1 = 27.39; RH1 = 59.74; T2 = 27.89; RH2 = 57.59
2017.11.24_20:29:59,99.47,142.92,185.42,21.57,26.00,30.90,25.58,4.72,1004.46,153.35,204.65,253.85,33.14,37.77,42.69,26.61,47.61,1012.05,61.93,P; Tset = 21.00; Ttrue = NaN; T1 = 27.33; RH1 = 59.61; T2 = 27.84; RH2 = 57.38
2017.11.24_20:30:59,103.22,145.67,188.07,21.83,25.74,31.39,25.54,4.73,1004.45,157.26,210.94,260.38,33.58,37.98,41.87,26.57,47.44,1012.03,61.73,P; Tset = 21.80; Ttrue = NaN; T1 = 27.27; RH1 = 59.52; T2 = 27.80; RH2 = 57.19
2017.11.24_20:31:59,104.60,145.29,188.92,21.86,24.95,30.89,25.50,4.75,1004.46,153.82,207.16,261.56,33.82,37.62,42.56,26.53,47.30,1012.05,61.51,P; Tset = 22.60; Ttrue = NaN; T1 = 27.20; RH1 = 59.42; T2 = 27.74; RH2 = 57.03
2017.11.24_20:32:59,100.27,147.15,189.38,21.92,25.00,33.10,25.46,4.76,1004.46,151.33,206.12,250.14,35.65,36.98,42.39,26.50,47.16,1012.03,61.37,P; Tset = 23.20; Ttrue = NaN; T1 = 27.14; RH1 = 59.38; T2 = 27.71; RH2 = 56.89
2017.11.24_20:33:59,103.02,145.04,190.56,21.83,25.11,32.43,25.43,4.78,1004.44,155.58,207.28,255.02,33.06,37.30,43.79,26.46,47.04,1012.03,61.19,P; Tset = 24.00; Ttrue = NaN; T1 = 27.07; RH1 = 59.32; T2 = 27.67; RH2 = 56.77
2017.11.24_20:34:59,100.75,144.26,186.75,21.44,25.28,33.18,25.40,4.78,1004.43,148.06,200.06,253.21,32.83,36.21,41.22,26.42,46.93,1012.03,61.09,P; Tset = 24.80; Ttrue = NaN; T1 = 27.00; RH1 = 59.30; T2 = 27.63; RH2 = 56.65
2017.11.24_20:35:59,101.33,144.96,190.21,21.43,25.17,31.37,25.38,4.80,1004.43,154.63,199.31,251.51,33.99,37.99,41.69,26.37,46.82,1012.01,61.00,P; Tset = 25.40; Ttrue = NaN; T1 = 26.94; RH1 = 59.25; T2 = 27.60; RH2 = 56.53
2017.11.24_20:36:59,101.52,145.25,188.11,22.24,25.54,31.52,25.35,4.80,1004.43,157.88,205.51,254.11,33.53,38.24,43.10,26.33,46.67,1012.01,60.83,P; Tset = 26.20; Ttrue = NaN; T1 = 26.88; RH1 = 59.11; T2 = 27.58; RH2 = 56.33
2017.11.24_20:37:59,100.17,143.79,186.22,21.71,25.05,32.23,25.33,4.82,1004.40,149.46,203.26,256.14,34.23,38.84,43.18,26.30,46.55,1011.98,60.66,P; Tset = 26.80; Ttrue = NaN; T1 = 26.82; RH1 = 59.06; T2 = 27.53; RH2 = 56.21
2017.11.24_20:38:59,100.17,146.16,188.14,22.32,25.05,31.39,25.30,4.84,1004.36,150.77,202.96,248.25,35.54,38.11,41.76,26.26,46.48,1011.94,60.56,P; Tset = 27.40; Ttrue = NaN; T1 = 26.76; RH1 = 59.06; T2 = 27.47; RH2 = 56.16
2017.11.24_20:39:59,102.96,144.89,187.90,23.35,26.18,30.98,25.26,4.85,1004.38,148.48,195.94,250.92,32.25,37.36,41.73,26.23,46.37,1011.93,60.39,P; Tset = 28.20; Ttrue = NaN; T1 = 26.70; RH1 = 59.01; T2 = 27.44; RH2 = 56.01
