2017.11.18_03:28:41,16.99,21.29,26.63,3.86,3.45,5.51,18.79,1.34,986.35,20.33,25.43,34.34,7.89,9.27,9.67,19.56,65.07,993.31,82.92,P; Tset = 10.00; Ttrue = NaN; T1 = 20.85; RH1 = 74.76; T2 = 19.70; RH2 = 78.45
2017.11.18_03:29:41,17.00,20.53,25.32,4.59,3.98,5.81,19.43,1.39,1020.39,20.63,25.16,31.63,8.02,9.67,9.33,20.22,67.31,1027.57,82.01,P; Tset = 10.00; Ttrue = NaN; T1 = 21.56; RH1 = 76.09; T2 = 20.36; RH2 = 80.73
2017.11.18_03:30:41,17.25,22.20,26.85,4.44,3.43,5.08,19.43,1.39,1020.37,19.92,24.40,31.80,7.88,9.66,9.51,20.21,67.04,1027.54,80.98,P; Tset = 10.80; Ttrue = NaN; T1 = 21.54; RH1 = 75.14; T2 = 20.34; RH2 = 79.81
2017.11.18_03:31:41,16.73,21.47,26.79,4.28,3.08,5.74,19.43,1.39,1020.35,20.65,23.58,31.85,7.71,8.97,9.15,20.20,66.69,1027.53,80.08,P; Tset = 12.00; Ttrue = NaN; T1 = 21.53; RH1 = 74.27; T2 = 20.34; RH2 = 78.87
2017.11.18_03:32:41,17.59,21.61,26.77,3.56,3.27,5.88,19.41,1.37,1020.34,20.59,23.04,31.53,7.21,8.60,9.33,20.19,66.27,1027.52,79.15,P; Tset = 13.00; Ttrue = NaN; T1 = 21.52; RH1 = 73.41; T2 = 20.33; RH2 = 77.96
2017.11.18_03:33:41,17.48,21.65,27.06,4.79,3.73,6.34,19.41,1.37,1020.36,19.36,23.81,30.31,7.49,8.85,8.79,20.17,65.80,1027.54,78.28,P; Tset = 14.00; Ttrue = NaN; T1 = 21.50; RH1 = 72.57; T2 = 20.34; RH2 = 77.06
2017.11.18_03:34:41,17.50,22.29,27.84,3.88,4.76,6.48,19.40,1.37,1020.37,18.37,23.28,31.19,7.57,9.81,9.09,20.17,65.32,1027.50,77.40,P; Tset = 15.00; Ttrue = NaN; T1 = 21.48; RH1 = 71.82; T2 = 20.34; RH2 = 76.20
2017.11.18_03:35:41,16.81,23.89,29.13,4.60,3.87,6.23,19.38,1.37,1020.35,19.39,25.43,31.83,6.91,8.45,8.54,20.16,64.86,1027.50,76.66,P; Tset = 16.00; Ttrue = NaN; T1 = 21.45; RH1 = 71.16; T2 = 20.33; RH2 = 75.41
2017.11.18_03:36:41,19.44,22.30,27.79,4.08,3.38,6.33,19.37,1.37,1020.37,19.66,25.78,31.21,7.31,8.83,9.55,20.15,64.42,1027.49,75.90,P; Tset = 17.00; Ttrue = NaN; T1 = 21.42; RH1 = 70.58; T2 = 20.33; RH2 = 74.70
2017.11.18_03:37:41,18.31,23.06,30.37,4.24,3.66,6.27,19.34,1.37,1020.38,18.73,25.23,32.39,6.90,9.40,9.43,20.13,64.00,1027.52,75.28,P; Tset = 18.00; Ttrue = NaN; T1 = 21.38; RH1 = 70.07; T2 = 20.32; RH2 = 74.06
2017.11.18_03:38:41,17.51,24.22,28.48,4.08,3.74,5.66,19.32,1.36,1020.37,21.66,24.69,31.31,7.97,9.60,9.53,20.12,63.60,1027.49,74.65,P; Tset = 18.80; Ttrue = NaN; T1 = 21.35; RH1 = 69.59; T2 = 20.31; RH2 = 73.43
